city,x,y
Turin,7.68,45.06
Milan,9.19,45.46
Genoa,8.93,44.4
Venice,12.33,45.43
Bologna,11.34,44.49
Florence,11.25,43.76
Pescara,13.95,42.31
Rome,12.48,41.89
Naples,14.24,40.83
Bari,16.86,41.12
Potenza,15.48,40.38
Reggio,15.39,38.06
Cagliari,9.11,39.21
Palermo,13.35,38.11
